"Biomass_SmallSize_Herbivores_Mean","Biomass_SmallSize_Herbivores_Min","Biomass_SmallSize_Herbivores_Max","Biomass_MediumSize_Herbivores_Mean","Biomass_MediumSize_Herbivores_Min","Biomass_MediumSize_Herbivores_Max","Biomass_MediumLarge_Herbivores_Mean","Biomass_MediumLarge_Herbivores_Min","Biomass_MediumLarge_Herbivores_Max","Biomass_Large_Herbivores_Mean","Biomass_Large_Herbivores_Min","Biomass_Large_Herbivores_Max","Phase","SI","Region","MacroRegion"
34.5903293070463,27.4555827296604,43.5791472121015,176.576053733035,140.154735397582,222.462000042201,200.630952465429,159.247969704153,252.767926410403,201.766003325953,160.148900207787,254.197937327759,"GS-7","Stadial","MesoMediterranean","Mediterranean"
40.9991972801152,32.078259049765,52.4010413098188,209.291920804876,163.752485365315,267.495836881342,237.803691535019,186.060433523427,303.936708287644,239.149043692279,187.113053034948,305.656201805705,"GI-6","Interstadial","MesoMediterranean","Mediterranean"
34.227247845367,27.18769963757,43.0895041024107,174.722602408017,138.7872508951,219.962479228759,198.525006065422,157.694193229855,249.927896684366,199.648142731031,158.586333388319,251.341840399006,"GS-6","Stadial","MesoMediterranean","Mediterranean"
44.2342728268496,34.3434370605533,56.973647951142,225.806272793258,175.31572289906,290.837992107191,256.567788357501,199.198927169269,330.458757775953,258.019296638647,200.325876480532,332.328297309969,"GI-5","Interstadial","MesoMediterranean","Mediterranean"
40.6723314003776,31.847008922898,51.9432938128372,207.623342092262,162.572004125458,265.159136183707,235.907802883654,184.719135705784,301.281679609169,237.242429228078,185.764166950274,302.986152550648,"GS-5","Stadial","MesoMediterranean","Mediterranean"
37.8022397806075,29.9119782575915,47.7738155639329,134.822612505866,106.681801853867,170.386481358892,147.508899770862,116.720147492709,186.419191365135,319.384391880813,252.720977412927,403.63245988245,"GI-13","Interstadial","SubMediterranean","Mediterranean"
31.097428036626,24.9073180486229,38.8259397742182,110.909737477034,88.8325588462232,138.473663564265,121.345915533276,97.1913596368454,151.50350063656,262.736631484737,210.437494564075,328.033450820846,"GS-13","Stadial","SubMediterranean","Mediterranean"
33.2019901981818,26.5039335459111,41.5927753218438,118.415709886307,94.5269270572353,148.341650198653,129.558170964493,103.421545909642,162.30002671136,280.517702396009,223.927014566814,351.409951629826,"GI-12","Interstadial","SubMediterranean","Mediterranean"
17.8129957650155,14.208116979319,22.3325032153324,63.5304849536279,50.6735966190932,79.6494187847401,69.5084582863366,55.4417864020373,87.1441215531585,150.498828984824,120.041850100617,188.683342574433,"GS-12","Stadial","SubMediterranean","Mediterranean"
36.5588602036347,29.0013251131351,46.0858341532663,130.388068841871,103.433935147163,164.366254383765,142.657082670571,113.16666906944,179.832484276715,308.879299262671,245.02703116941,389.371005548508,"GI-11","Interstadial","SubMediterranean","Mediterranean"
27.3439568266811,21.9955437532407,33.9928843463685,97.5228906280831,78.4476446239646,121.236453204507,106.699418084609,85.8292650840975,132.644335337592,231.02422167019,185.836432086768,287.199826207368,"GS-11","Stadial","SubMediterranean","Mediterranean"
37.0328621943043,29.3493657389821,46.7278541723572,132.07860853174,104.675230549425,166.656034480322,144.506695617811,114.524765576213,182.337723839148,312.884057669023,247.96756443625,394.79531835544,"GI-10","Interstadial","SubMediterranean","Mediterranean"
23.8132267011536,19.1766253159671,29.5708841663799,84.9304553031005,68.3939030901325,105.465281437237,92.9220832169647,74.829505291046,115.389157202055,201.193711610959,162.019892218353,249.839134180145,"GS-10","Stadial","SubMediterranean","Mediterranean"
31.6198578759284,25.3059849702617,39.5090494706624,112.772996273194,90.2544141703244,140.909990999814,123.384499787812,98.7470060569322,154.169077076742,267.150548159896,213.805760388257,333.804922994267,"GI-9","Interstadial","SubMediterranean","Mediterranean"
21.967577987736,17.6714437168481,27.3081526546227,78.3479040374821,63.0256361126534,97.3951941729648,85.7201392935415,68.956105118729,106.55970588612,185.600154314312,149.302880938206,230.721718596668,"GS-9","Stadial","SubMediterranean","Mediterranean"
35.3815530907437,28.1320606809837,44.4992037131259,126.189174236607,100.333682294918,158.707498123223,138.063088295559,109.774694394373,173.641260901423,298.932441127018,237.682770785433,375.965847515418,"GI-8","Interstadial","SubMediterranean","Mediterranean"
25.3396729011402,20.4050793664772,31.4676072170373,90.3745629995291,72.775214499044,112.229990575475,98.8784604270512,79.6230811865876,122.79039935057,214.090383716922,172.398881721429,265.864209456539,"GS-8","Stadial","SubMediterranean","Mediterranean"
34.2153670788067,27.2640397677501,42.9390271694904,122.029943309824,97.2378644832992,153.143090331406,133.512489798027,106.387572080132,167.553263821471,289.07954319282,230.34901667134,362.784193742845,"GI-7","Interstadial","SubMediterranean","Mediterranean"
16.8433525307065,13.3866518374923,21.1926423363829,60.0722286490573,47.7438211045644,75.5840770884514,65.7247934163901,52.2363303239262,82.6962469001877,142.306485977414,113.10143740824,179.052861000726,"GS-7","Stadial","SubMediterranean","Mediterranean"
32.1499168518409,25.8920521454327,39.9202484134735,114.66346457162,92.3446370809,142.376542083855,125.452853853717,101.033910872706,155.773624955202,142.898233262336,115.0836104544,177.435387965934,"GI-6","Interstadial","SubMediterranean","Mediterranean"
17.3209593153372,13.4796733802516,22.2568917762581,61.7756249247316,48.0755847113483,79.3797487384548,67.5884727045182,52.5993116051158,86.8490765967572,76.987274834235,59.9137322770709,98.9262438032145,"GS-6","Stadial","SubMediterranean","Mediterranean"
39.6290317729066,31.7782961253138,49.4192688325744,141.337910814537,113.338070163709,176.255030675601,154.637262493763,124.002744949584,192.839948513133,176.141003796128,141.24647330572,219.656126572126,"GI-5","Interstadial","SubMediterranean","Mediterranean"
31.1970307302392,25.1227511832964,38.7399739496123,111.264972919259,89.6009063887385,138.167064348799,121.734577258993,98.0320057163978,151.168051618747,138.662895923686,111.664262627066,172.189367068659,"GS-5","Stadial","SubMediterranean","Mediterranean"
