"Biomass","Phase","Region","Size"
356.973276323096,"GS-13","MesoMediterranean","Large"
323.405883118523,"GI-12","MesoMediterranean","Large"
283.751431612617,"GS-12","MesoMediterranean","Large"
379.545435872155,"GI-11","MesoMediterranean","Large"
350.279503888057,"GS-11","MesoMediterranean","Large"
368.854879824642,"GI-10","MesoMediterranean","Large"
331.669265892721,"GS-10","MesoMediterranean","Large"
375.161451463332,"GI-9","MesoMediterranean","Large"
341.569027104326,"GS-9","MesoMediterranean","Large"
314.069368881183,"GI-8","MesoMediterranean","Large"
304.728639561442,"GS-8","MesoMediterranean","Large"
311.726618413373,"GI-7","MesoMediterranean","Large"
201.766003325953,"GS-7","MesoMediterranean","Large"
239.149043692279,"GI-6","MesoMediterranean","Large"
199.648142731031,"GS-6","MesoMediterranean","Large"
258.019296638647,"GI-5","MesoMediterranean","Large"
237.242429228078,"GS-5","MesoMediterranean","Large"
319.384391880813,"GI-13","SubMediterranean","Large"
262.736631484737,"GS-13","SubMediterranean","Large"
280.517702396009,"GI-12","SubMediterranean","Large"
150.498828984824,"GS-12","SubMediterranean","Large"
308.879299262671,"GI-11","SubMediterranean","Large"
231.02422167019,"GS-11","SubMediterranean","Large"
312.884057669023,"GI-10","SubMediterranean","Large"
201.193711610959,"GS-10","SubMediterranean","Large"
267.150548159896,"GI-9","SubMediterranean","Large"
185.600154314312,"GS-9","SubMediterranean","Large"
298.932441127018,"GI-8","SubMediterranean","Large"
214.090383716922,"GS-8","SubMediterranean","Large"
289.07954319282,"GI-7","SubMediterranean","Large"
142.306485977414,"GS-7","SubMediterranean","Large"
142.898233262336,"GI-6","SubMediterranean","Large"
76.987274834235,"GS-6","SubMediterranean","Large"
176.141003796128,"GI-5","SubMediterranean","Large"
138.662895923686,"GS-5","SubMediterranean","Large"
